.abdn.,.aber.,.abertay-dundee.,.anglia.,.aston.,.bangor.,.bath.,.bbk.,.bham.,.bournemouth.,.brad.,.bris.,.brunel.,.bton.,.cam.,.cf.,.courtauld.,.coventry.,.cranfield.,.derby.,.dmu.,.dundee.,.dur.,.ed.,.essex.,.ex.,.gcal.,.glam.,.glasgow.,.goldsmiths.,.gre.,.herts.,.heythrop.,.hud.,.hw.,.kcl.,.keele.,.kingston.,.lamp.,.lancs.,.lboro.,.lbs.,.le.,.leeds.,.livjm.,.lmu.,.lse.,.lshtm.,.luton.,.man.,.mbs.,.mcc.,.mdx.,.mmu.,.napier.,.ncl.,.newport.,.nott.,.ntu.,.ox.,.paisley.,.plymouth.,.port.,.qmw.,.qub.,.rcm.,.rdg.,.rgu.,.salford.,.sas.,.shef.,.soas.,.soton.,.ssees.,.st-and.,.staffs.,.stir.,.strath.,.sunderland.,.surrey.,.susx.,.swan.,.tees.,.tvu.,.uce.,.ucl.,.uclan.,.uea.,.uel.,.ukc.,.ulh.,.ulst.,.umds.,.umist.,.unl.,.unn.,.uwcm.,.uwe.,.uwic.,.warwick.,.wlv.,.wmin.,.york.
4,9,0,8,3,3,77,8,12,5,5,17,6,1,40,82,3,0,8,2,7,7,11,3344,7,897,0,1,0,0,188,5,0,2,167,9,6,7,0,7,1,1,1469,383,1,2,47,0,2,378,1,22,1,11,0,7,2,14,19,59,0,1,89,17,8,1,7,5,231,16,13,0,23,0,6,0,4,28,3,10,3,3,1,0,1,29,0,7,12,8,3,80,0,1,9,7,2,8,1,11,9,234,18
20,16,0,13,4,7,19,55,855,0,9,37,9,4,173,100,0,1,5,4,10,13,22,7981,16,1760,1,0,3,0,77,67,0,4,845,13,2,3,0,11,6,1,1672,66,8,10,34,0,3,267,5,10,17,80,3,49,0,32,25,165,1,0,152,9,12,0,32,10,17,14,75,0,32,0,7,2,3,18,7,15,19,6,3,0,27,96,6,21,12,12,2,8,3,5,9,5,4,2059,0,58,13,14,40
1,0,0,0,0,1,0,1,0,0,0,2,1,0,2,1,0,0,0,0,1,0,1,55,0,26,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1
8,33,0,16,1,8,39,1,22,2,38,20,5,4,68,49,0,1,3,5,15,19,39,2409,52,1316,1,1,1,0,3049,4,0,21,74,5,7,1,0,35,6,0,1211,170,1,11,36,0,5,253,21,24,3,26,6,23,1,28,12,98,0,0,3120,9,46,1,5,4,17,35,53,1,21,0,0,12,35,22,2,68,8,9,3,0,6,29,1,14,8,42,7,24,0,3,20,22,1,8,0,42,14,4,106
101,70,1,15,22,17,102,23,183,15,57,125,28,15,360,192,2,12,43,17,65,67,67,7749,62,3887,30,21,19,0,127,95,0,16,284,39,35,11,9,60,111,9,3505,217,16,10,221,4,15,641,39,50,13,74,89,117,2,96,86,287,22,0,395,49,35,9,55,47,16,70,205,3,158,0,91,46,38,137,25,61,25,54,11,0,146,143,6,29,27,43,3,51,4,32,19,58,12,33,0,114,29,7,75
22,25,0,7,25,7,36,29,81,7,27,64,8,9,284,134,11,4,4,3,14,14,101,4631,59,3518,4,4,2,2,2040,17,4,11,246,48,19,2,4,35,21,7,2398,101,10,12,96,2,5,485,1,55,10,49,17,74,2,40,43,352,1,1,2225,30,25,5,32,26,9,143,97,14,369,1,17,8,17,14,3,16,20,12,6,0,22,198,1,8,22,33,5,6,185,5,58,27,5,28,0,41,18,7,103
11,22,0,12,11,9,16,11,37,7,26,57,64,2,256,217,0,7,0,10,15,19,61,5900,34,4318,4,7,4,0,3080,8,0,13,126,14,14,3,10,36,6,3,4281,84,7,12,112,1,4,613,21,53,7,66,0,44,2,39,49,214,0,2,2983,14,11,3,12,28,2,123,48,0,41,1,16,44,15,34,6,25,10,15,3,0,19,75,1,16,33,40,0,18,0,8,149,45,0,17,0,34,16,14,38
1,1,0,0,1,0,6,4,2,1,0,16,1,3,14,7,0,27,1,4,2,1,3,809,1,411,1,1,0,0,8,0,0,2,54,2,4,10,1,3,1,0,203,4,4,1,7,0,1,59,0,5,1,2,0,13,0,3,4,29,0,0,25,2,2,0,4,1,2,1,15,0,20,1,1,1,2,2,1,6,2,3,0,0,0,15,0,3,1,4,0,3,2,0,5,3,0,0,0,10,8,5,4
8,24,0,0,3,8,2,2,6,4,3,10,1,0,50,45,0,0,1,0,2,1,12,2546,3,713,1,4,0,0,31,1,0,1,84,11,3,0,101,6,0,0,771,4,0,6,16,1,0,139,31,5,0,19,2,12,4,7,31,67,0,1,57,1,5,1,4,3,0,63,10,4,8,0,5,1,5,0,0,2,1,27,0,0,5,20,0,3,7,7,0,3,0,0,8,10,3,3,6,6,4,0,9
30,44,0,8,18,12,51,15,110,12,23,66,20,31,404,129,0,4,8,10,35,29,45,5155,76,2732,3,3,3,1,184,8,0,35,112,18,17,2,4,22,13,2,2787,156,20,13,145,3,1,624,16,47,12,59,12,47,1,102,51,459,2,4,239,28,13,2,19,13,7,60,111,0,45,1,7,56,27,19,15,74,74,21,3,0,22,186,17,34,40,30,2,32,1,31,45,34,7,14,1,96,35,2,77
16,22,0,7,12,15,48,17,207,2,16,69,22,4,186,115,3,10,19,18,41,3,50,2659,24,2399,1,5,2,0,81,23,0,9,268,18,12,4,1,27,41,0,2077,75,7,9,93,25,4,277,5,33,5,40,3,44,1,183,53,212,0,1,253,11,11,4,16,19,15,29,63,4,115,0,12,3,5,32,7,24,18,10,3,0,14,85,1,23,10,32,5,11,0,14,29,35,1,9,1,47,31,7,41
0,0,0,1,0,0,0,4,0,0,0,1,1,0,9,4,0,0,4,0,1,0,0,470,0,143,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,9,121,0,0,0,7,0,1,38,0,3,0,3,0,2,0,0,2,10,0,0,40,3,0,1,2,0,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,6,0,0,1,0,0,0,0,0,2,8,0,0,0,5,1,1,0
31,39,0,14,10,8,89,21,89,12,24,150,12,7,239,182,2,8,8,13,41,35,60,6971,44,2720,8,7,4,4,98,17,0,14,114,51,32,6,8,46,24,1,2918,105,11,11,145,2,11,447,13,39,9,34,4,73,2,83,23,212,3,11,260,38,28,1,29,28,5,124,130,1,111,2,20,17,14,23,6,42,17,20,5,1,18,124,6,39,28,56,1,17,7,9,45,18,11,68,2,92,35,7,77
19,53,0,4,5,23,41,11,68,3,32,194,22,5,377,127,0,5,17,7,25,35,75,5080,53,2578,2,0,0,0,111,15,0,26,137,25,41,12,0,88,55,2,2205,312,8,30,148,1,2,405,6,96,12,28,9,70,0,63,37,239,1,0,185,34,34,7,24,15,13,52,161,3,97,2,27,7,24,29,4,66,53,34,11,1,26,244,7,38,38,90,3,31,20,53,28,33,2,18,2,103,26,7,169
4,6,1,6,4,5,7,2,84,2,9,11,7,3,45,45,0,3,3,3,5,3,12,814,2,522,1,2,0,0,24,7,0,5,109,1,4,1,4,7,6,1,479,33,4,2,42,0,3,98,1,9,2,16,3,23,0,7,16,37,2,1,120,2,2,0,3,6,4,6,28,1,46,0,1,5,11,9,2,16,4,6,4,3,7,21,7,5,8,11,1,4,1,4,12,6,1,11,1,15,10,8,14
2,5,0,2,0,3,1,2,4,0,14,17,2,0,29,157,0,2,2,4,3,13,4,875,5,444,1,1,1,0,21,3,0,8,27,0,5,0,0,3,3,2,666,345,4,24,7,0,0,81,1,4,8,3,0,13,0,4,13,24,1,0,40,0,2,0,3,3,2,4,25,1,12,0,0,3,1,7,0,5,1,0,2,0,6,12,4,4,2,7,0,2,0,4,11,5,0,6,0,10,8,1,52
1,6,0,1,2,2,3,11,4,0,0,20,11,0,48,23,1,0,1,0,3,4,15,913,15,674,0,2,0,0,14,0,2,3,22,15,2,0,0,6,1,11,333,18,0,1,99,5,0,54,1,32,4,7,1,6,0,8,8,55,0,0,62,11,2,1,2,0,1,17,1,5,17,2,2,0,2,0,0,7,8,2,0,0,0,25,0,4,6,12,1,2,1,0,11,1,2,2,0,26,5,0,8
6,0,0,0,0,0,1,1,1,0,0,4,0,0,10,2,0,0,0,0,2,0,1,131,0,57,0,0,0,0,0,0,0,0,2,1,0,0,0,2,9,0,45,6,0,0,25,1,0,7,1,0,0,1,1,5,0,1,0,3,1,0,3,5,1,0,1,0,0,2,1,0,5,0,1,1,0,2,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,2
1,3,0,0,1,0,0,0,3,0,2,3,0,0,5,4,0,1,4,3,5,1,0,167,0,83,0,0,0,0,13,6,0,0,5,0,4,0,0,1,1,0,77,2,0,0,5,0,6,11,0,3,0,1,1,1,0,2,2,7,0,0,12,2,0,0,1,0,1,1,4,0,11,0,0,1,1,1,1,0,0,0,0,0,1,0,0,3,0,2,1,0,1,0,2,1,0,2,0,5,0,0,5
41,34,0,7,11,36,25,27,112,7,32,98,18,10,484,148,0,20,13,9,28,46,62,5910,50,2897,3,5,4,0,64,13,0,25,165,36,21,5,4,79,14,12,2498,176,15,12,121,4,2,766,64,728,14,179,13,143,2,79,54,294,3,1,269,37,27,4,22,12,59,83,139,5,152,2,106,13,23,32,4,40,17,22,6,4,17,229,14,32,20,41,10,14,23,403,40,44,6,24,1,77,42,12,73
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
15,13,0,1,0,0,22,17,8,0,12,37,4,0,358,212,0,0,0,0,2,4,17,10782,56,3378,0,0,6,0,246,1,0,8,153,2,5,4,1,14,3,8,4148,28,1,2,498,0,2,1052,23,13,0,71,0,31,0,17,66,425,2,0,605,11,12,2,0,12,8,45,5,3,19,0,14,4,7,8,0,27,0,22,3,0,25,172,1,28,50,15,28,13,0,137,35,35,0,13,0,22,2,2,27
9,9,0,13,5,1,15,2,60,3,15,17,9,0,127,36,0,1,5,3,4,3,22,1519,2,998,1,2,2,0,31,11,0,7,129,5,2,10,1,7,3,0,1155,17,2,2,36,1,1,171,2,4,11,21,2,12,0,8,12,78,1,1,85,4,3,1,3,14,2,15,15,2,32,0,4,2,3,4,1,6,5,8,1,1,15,30,1,4,9,3,12,3,1,2,19,14,2,12,0,25,5,5,31
19,20,0,31,6,9,26,15,122,1,21,63,17,4,229,134,0,2,9,4,16,16,20,4010,37,2201,0,6,0,0,86,29,0,5,89,17,10,2,1,19,7,2,2158,73,12,14,79,0,0,592,19,162,21,150,7,50,0,51,35,144,9,0,185,26,17,1,75,21,41,95,45,2,55,0,17,10,5,17,6,109,19,14,2,0,10,74,4,57,18,22,0,21,14,109,57,20,0,32,0,49,27,14,36
21,14,2,1,2,1,14,5,47,1,8,32,6,12,57,40,0,6,2,3,80,29,13,2097,5,1308,16,2,25,1,80,1,0,0,226,261,2,0,0,7,2,1,1425,26,2,7,16,1,2,261,1,11,6,42,23,20,0,42,76,92,5,0,153,13,2,0,6,15,3,7,28,0,8,0,18,1,7,27,1,11,42,0,3,0,5,25,3,21,3,13,0,3,0,4,16,9,0,4,0,7,19,3,27
36,44,0,9,6,11,39,4,101,6,29,49,8,5,474,209,1,0,3,1,15,39,134,6543,17,2618,2,3,3,0,126,7,0,7,163,20,11,7,2,24,11,1,2836,84,1,9,176,2,1,2373,9,65,2,43,9,28,0,79,52,317,1,3,437,22,28,0,26,24,8,44,163,0,69,0,32,1,24,39,28,36,15,46,11,0,29,172,0,35,18,48,1,10,26,19,16,95,18,14,0,43,25,6,92
2,6,0,1,0,1,0,0,0,2,0,5,2,0,6,7,0,0,0,0,2,0,1,192,0,159,0,0,1,0,4,2,0,0,8,2,0,0,0,1,1,0,141,6,0,2,2,0,1,19,0,1,0,3,0,6,8,0,1,16,0,2,26,0,0,0,3,7,0,4,3,0,4,0,0,2,0,1,0,0,0,4,0,1,0,2,0,3,1,3,0,1,0,2,4,0,2,8,0,3,4,0,1
15,13,1,4,11,5,40,13,74,1,19,51,12,5,1565,160,0,2,11,16,48,29,54,5686,20,4058,0,0,2,0,293,9,0,23,169,25,5,4,5,64,16,2,3255,95,9,4,116,1,2,767,14,40,2,66,19,104,2,23450,41,308,0,0,288,53,17,9,24,12,12,49,102,2,63,2,8,6,8,24,3,25,12,21,4,3,11,199,6,25,17,66,2,12,8,19,34,20,19,29,1,43,40,3,68
